condLoaderLoop.thisRepN,condLoaderLoop.thisTrialN,condLoaderLoop.thisN,condLoaderLoop.thisIndex,Block1Loop.thisRepN,Block1Loop.thisTrialN,Block1Loop.thisN,Block1Loop.thisIndex,encodeLoop_Block1Run1.thisRepN,encodeLoop_Block1Run1.thisTrialN,encodeLoop_Block1Run1.thisN,encodeLoop_Block1Run1.thisIndex,recognitionLoop_Block1Run1.thisRepN,recognitionLoop_Block1Run1.thisTrialN,recognitionLoop_Block1Run1.thisN,recognitionLoop_Block1Run1.thisIndex,triggerSyncText.started,triggerSync_Key_Resp.started,triggerSync_Key_Resp.keys,triggerSync_Key_Resp.rt,start_time,start_volume,InstructionText.started,trigger_time,end_volume,image_file,run,encodeTrialRun1_Image.started,encodeTrialTestKeyRespRun1.started,encodeFixationText_Run1.started,encodeTrialRun1_Image.stopped,encodeTrialTestKeyRespRun1.stopped,encodeFixationText_Run1.stopped,end_time,response_pair_fit,encodeTrialTestKeyRespRun1.keys,encodeTrialTestKeyRespRun1.rt,InstructionText.stopped,recogTrialRun1_Image.started,recogTrialTestKeyRespRun1.started,recogFixationText_Run1.started,recogTrialRun1_Image.stopped,recogTrialTestKeyRespRun1.stopped,recogFixationText_Run1.stopped,image_old_new,response_old_new,is_correct,recogTrialTestKeyRespRun1.keys,recogTrialTestKeyRespRun1.rt,image_gender,response_gender,gender_is_correct,image_water,response_water,liquid_is_correct,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,6.270812375005335,6.270812375005335,5,6.865143373986939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711400,001,2023-07-13_11h31.27.658,PsychoPy-Practice-Task,2022.2.5,59.98077627667409,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1.5416997484862804e-05,2,13.186080334009603,2.6249908842146397e-06,1,Block1_run1_combo_encoding-TEST/om25_Shkumbin_hills21_OLD.bmp,1,23.203062917018542,23.203062917018542,26.16941720902105,26.203048250026768,29.203805459022988,32.186155625007814,18.991369707975537,does_not_fit,2,1.0805415409849957,,,,,,,,,,,,,,,,,,,711400,001,2023-07-13_11h31.27.658,PsychoPy-Practice-Task,2022.2.5,59.98077627667409,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,2,,,,Block1_run1_combo_encoding-TEST/om2_mtns10b1_OLD.bmp,1,32.186155625007814,32.186155625007814,35.169940667023184,35.18654966700706,38.186940167011926,41.17042783400393,27.990365666977596,does_not_fit,2,0.8582382079621311,,,,,,,,,,,,,,,,,,,711400,001,2023-07-13_11h31.27.658,PsychoPy-Practice-Task,2022.2.5,59.98077627667409,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,2,,,,Block1_run1_combo_encoding-TEST/ym18_hill18b1_OLD.bmp,1,41.17042783400393,41.17042783400393,44.169779750023736,44.169779750023736,47.170542667008704,50.17126712499885,36.99099133297568,fits,1,3.401407499972265,,,,,,,,,,,,,,,,,,,711400,001,2023-07-13_11h31.27.658,PsychoPy-Practice-Task,2022.2.5,59.98077627667409,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,2,,,,Block1_run1_combo_encoding-TEST/yf20_w_sunset3_OLD.bmp,1,50.17126712499885,50.17126712499885,53.16987595902174,53.18638683401514,56.17104579199804,59.170741709007416,45.99101670799428,does_not_fit,2,0.9637274989509024,,,,,,,,,,,,,,,,,,,711400,001,2023-07-13_11h31.27.658,PsychoPy-Practice-Task,2022.2.5,59.98077627667409,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,2,,,,Block1_run1_combo_encoding-TEST/yf7_mtns10b1_OLD.bmp,1,59.170741709007416,59.170741709007416,62.169694334006635,62.169694334006635,65.17109345900826,68.17062370901112,54.99048354200204,does_not_fit,2,0.9444994579826016,,,,,,,,,,,,,,,,,,,711400,001,2023-07-13_11h31.27.658,PsychoPy-Practice-Task,2022.2.5,59.98077627667409,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,2,,,,Block1_run1_combo_encoding-TEST/yf20_w_rocks_OLD.bmp,1,68.17062370901112,68.17062370901112,71.17007533402648,71.17007533402648,74.17033333401196,77.17044587500277,63.99101512497873,does_not_fit,2,0.7575284579652362,,,,,,,,,,,,,,,,,,,711400,001,2023-07-13_11h31.27.658,PsychoPy-Practice-Task,2022.2.5,59.98077627667409,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,2,,,,Block1_run1_combo_encoding-TEST/ym29_mtns8_OLD.bmp,1,77.17044587500277,77.17044587500277,80.16984650000813,80.16984650000813,83.17019058400183,86.17574775000685,72.9916208749928,does_not_fit,2,0.6212771659775171,,,,,,,,,,,,,,,,,,,711400,001,2023-07-13_11h31.27.658,PsychoPy-Practice-Task,2022.2.5,59.98077627667409,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,2,,,,Block1_run1_combo_encoding-TEST/of15_w_beach5b4_OLD.bmp,1,86.17574775000685,86.17574775000685,89.1696916250221,89.18658729200251,92.18751745900954,95.17139979201602,81.99112295798841,fits,1,1.1527794159483165,,,,,,,,,,,,,,,,,,,711400,001,2023-07-13_11h31.27.658,PsychoPy-Practice-Task,2022.2.5,59.98077627667409,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,2,,,,Block1_run1_combo_encoding-TEST/yf5_w_hills6_OLD.bmp,1,95.17139979201602,95.17139979201602,98.16969979202258,98.18641320901224,101.1704347920022,104.17006699999911,90.990835124976,fits,1,1.3565448329900391,,,,,,,,,,,,,,,,,,,711400,001,2023-07-13_11h31.27.658,PsychoPy-Practice-Task,2022.2.5,59.98077627667409,
